CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
6142539;Acquarin Spray Nasal 100 Ml;0;43;0;4,5;;8;21;3;0;0;0;0;0;0;0;0;0;0;0;0;32
5346218;Actifed Descongestionante , 1 mg/ml Frasco 10 ml Sol pulv nasal;0;43;0;11,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;11
8559013;Actifed, 60/2,5 mg x 20 comp;19;43;19;7,65;;2;5;8;3;4;6;4;3;4;5;3;6;4;8;3;68
2159184;Allergodil, 1 mg/mL-10 mL x 1 sol pulv nasal;11;43;11;10,95;;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;3
6214742;Aqua Maris Ag Mar Isot Spray 30ml;0;43;0;4,69;;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;4
6214759;Aqua Maris Forte Ag Mar Hipert Spray 30ml;0;43;0;5,1;;1;0;0;1;0;3;0;0;0;0;1;2;1;0;0;9
9901116;Benylin (200mL), 2,8/0,4 mg/mL x 1 xar mL;0;43;0;10,48;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
3574589;Bisolspray Nebulicina Adulto, 0,5 mg/mL-10 mL x 1 sol pulv nasal;4;43;4;9,55;;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;7
6774232;Breathe Right Bal Penso Nasal Gde X8;0;43;0;8,9;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
6774190;Breathe Right Penso Nasal Gde X10;1;43;1;12,25;;2;0;1;1;1;1;0;2;0;0;1;0;0;2;0;11
6729327;Breathe Right Penso Nasal Gde X30;0;43;0;26,11;;1;0;1;1;0;2;0;0;1;1;1;2;1;0;1;12
6774208;Breathe Right Penso Nasal Peq/Med X10;0;43;0;10,49;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
6729319;Breathe Right Penso Nasal Peq/Med X30;1;43;1;29,5;;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3
4431284;Cetirizina Alter MG, 10 mg x 20 comp rev;0;43;0;4,71;;4;0;0;0;4;10;7;4;5;3;2;8;5;2;4;58
5122098;Cetirizina Jaba MG, 10 mg x 20 comp rev;0;43;0;1,96;;14;13;7;8;6;7;7;7;7;7;5;12;8;3;10;121
4212296;Cetirizina Nargoran MG, 10 mg Blister 20 Unidade(s) Comp revest pelic;0;43;0;4,7;;0;0;10;8;6;8;13;5;7;2;5;7;6;9;7;93
5475256;Cetix, 10 mg x 7 comp chupar;0;43;0;6,3;;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;4
9702407;Claritine, 10 mg x 20 comp;0;43;0;8,55;;1;0;1;4;1;0;0;3;1;0;0;0;0;2;1;14
8070409;Fenistil, 1 mg/mL-20 mL x 1 sol oral gta;10;43;10;6,35;;6;7;6;2;11;12;12;7;3;6;6;5;3;2;3;91
8707505;Fenolip , 20 mg/ml Frasco nebulizador 15 ml Sol inal neb;0;43;0;6,63;;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;3
6842070;Grindpectoral Unguent Bals 30 G;0;43;0;5,55;;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;6
2396984;Livostin, 0,5 mg/mL x 15 sol pulv nasal;0;43;0;5,97;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
9188219;Nasex, 0,5 mg/mL-15 mL x 1 sol nasal conta-gotas;0;43;0;6,3;;2;3;2;2;1;1;0;0;0;2;0;3;2;2;1;21
9167205;Nasex, 0,5 mg/mL-15 mL x 1 sol pulv nasal;0;43;0;6,98;;5;6;6;4;1;3;2;2;0;1;5;6;3;4;6;54
6116863;Nasivin Mer++ Spray Nasal 20 Ml;0;43;0;7,89;;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;5
6114991;Naso Drill Spray Nasal 100ml;0;43;0;10,6;;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;3
6150722;Nasomar Descong Spray Nasal Hipert 50 Ml;0;43;0;9,3;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
6518555;Nasomar Spray Ad 150 Ml;0;43;0;11,6;;1;0;0;0;0;2;2;0;0;2;0;0;0;5;0;12
9679704;Nasorhinathiol, 0,25 mg/mL-15mL x 1 sol nasal conta-gotas;5;43;5;9,25;;2;1;5;3;0;2;1;0;1;2;3;2;2;0;1;25
9679712;Nasorhinathiol, 0,5 mg/mL-15 mL x 1 sol nasal conta-gotas;0;43;0;9,25;;3;4;1;1;2;2;2;2;2;1;1;2;3;1;1;28
9679720;Nasorhinathiol, 0,5 mg/mL-15 mL x 1 sol pulv nasal;28;43;28;9,65;;1;0;1;2;1;1;1;2;0;4;2;4;1;2;0;22
8437004;Neo-Sinefrina Alergo (200 doses), 50 mcg/dose x 1 susp pulv nasal;0;43;0;13,4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
9908731;Neo-Sinefrina, 2,5 mg/mL-15 mL x 1 sol nasal conta-gotas;12;43;12;8,95;;20;7;4;0;5;5;1;0;1;7;7;6;7;8;2;80
9908756;Neo-Sinefrina, 5 mg/mL-15 mL x 1 sol nasal conta-gotas;2;43;2;8,95;;5;2;2;0;3;1;4;0;3;3;2;4;4;4;0;37
6304725;Physiodose Ag Mar Fluidific 100ml;0;43;0;11,39;;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;4
6304717;Physiodose Ag Mar Hipertonica 100ml;0;43;0;9,75;;0;0;0;0;0;0;0;0;0;3;3;1;7;3;0;17
6304709;Physiodose Ag Mar Isotonica 100ml;0;43;0;8,95;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5
3141488;Pulmicort Nasal Aqua (120 doses), 32 mcg/dose x 1 susp pulv nasal;18;43;18;9,25;;8;8;9;12;12;10;8;9;8;7;13;5;14;8;7;138
3141686;Pulmicort Nasal Aqua (120 doses), 64 mcg/dose x 1 susp pulv nasal;17;43;17;11,95;;9;11;7;6;14;8;4;6;6;7;7;6;10;11;7;119
6210971;Rezitop Spray Nasal 20ml;1;43;1;14,6;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
6208058;Rhinomer Intense Spray Nasal Eucalipt 20ml;0;43;0;8,85;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
6133983;Rhinomer Mini Spray Nasal 23 Ml ;0;43;0;6,4;;2;0;0;0;0;1;1;0;0;0;0;2;0;1;0;7
6211045;Rhinomer Spray Nasal Forca 1 135ml;0;43;0;12,3;;0;2;2;2;5;1;1;3;3;5;3;3;1;5;5;41
6699314;Rhinomer Spray Nasal Forca 2 135ml;1;43;1;12,3;;5;3;5;2;2;4;2;4;4;7;3;8;5;9;7;70
6699322;Rhinomer Spray Nasal Forca 3 135ml;0;43;0;12,3;;2;0;3;0;2;2;1;2;3;5;3;5;3;4;6;41
8116707;Rhinospray, 1,18 mg/mL-10mL x 1 sol pulv nasal;3;43;3;8,6;;0;2;3;3;2;3;0;1;1;1;0;6;1;3;8;34
9264309;Rinerge, 0,5 mg/mL-10mL x 1 sol pulv nasal;1;43;1;7,35;;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4
7745083;Soro Fisiologico Gts Nasal 60 Ml Plural;10;43;10;0,65;;14;10;13;13;14;8;25;10;10;18;21;11;8;13;15;203
6113829;Soro Fisiologico 0,9% 30ml Gsl;0;43;0;0,55;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
6712836;Sterimar Ag Mar 100ml;0;43;0;9,7;;3;0;2;3;1;0;1;0;0;2;1;6;7;4;5;35
6104505;Sterimar Mn Ag Mar Manganesio 100ml;0;43;0;11,6;;0;2;0;0;0;0;0;0;0;0;1;3;0;2;1;9
9232116;Tavegyl, 1 mg x 10 comp;0;43;0;10,04;;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
5349964;Telfast 120, 120 mg x 10 comp rev;22;43;22;5,99;;0;0;0;0;7;10;8;6;1;3;1;4;2;1;2;45
