CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5346218;Actifed Descongestionante , 1 mg/ml Frasco 10 ml Sol pulv nasal;0;43;0;11,5;11,5;1;0;0;0;0;0;0;0;0;0;0;0;0;1
8559013;Actifed, 60/2,5 mg x 20 comp;19;43;19;7,65;428,4;8;3;4;6;2;2;1;7;5;3;5;6;4;56
2159184;Allergodil, 1 mg/mL-10 mL x 1 sol pulv nasal;11;43;11;10,95;186,15;0;0;4;4;3;1;1;0;1;0;1;0;2;17
6214742;Aqua Maris Ag Mar Isot Spray 30ml;0;43;0;4,69;28,14;0;0;0;2;0;0;0;1;2;0;1;0;0;6
9901116;Benylin (200mL), 2,8/0,4 mg/mL x 1 xar mL;0;43;0;10,48;31,44;0;0;0;0;0;0;0;1;0;0;1;1;0;3
3574589;Bisolspray Nebulicina Adulto, 0,5 mg/mL-10 mL x 1 sol pulv nasal;4;43;4;9,55;66,85;0;0;0;0;0;0;0;2;3;2;0;0;0;7
6304063;Bloxinus Spray Nasal Edema 20ml;0;43;0;10,01;20,02;0;1;0;0;0;0;0;0;0;0;0;1;0;2
6774190;Breathe Right Penso Nasal Gde X10;1;43;1;12,25;24,5;0;0;0;0;0;1;0;1;0;0;0;0;0;2
6774208;Breathe Right Penso Nasal Peq/Med X10;0;43;0;10,49;10,49;0;0;0;0;0;0;0;1;0;0;0;0;0;1
6729319;Breathe Right Penso Nasal Peq/Med X30;1;43;1;29,5;59;0;1;0;1;0;0;0;0;0;0;0;0;0;2
5458229;Cetirizina Alter Genéricos MG, 10 mg x 20 comp rev;0;43;0;4,7;4,7;0;0;1;0;0;0;0;0;0;0;0;0;0;1
5589312;Cetirizina Aurobindo MG, 10 mg x 20 comp rev;13;43;13;5,9;11,8;0;1;0;0;0;0;0;0;1;0;0;0;0;2
4256798;Cetirizina Bluepharma MG, 10 mg x 20 comp rev;0;43;0;4,9;19,6;1;0;2;0;0;1;0;0;0;0;0;0;0;4
3725488;Cetirizina Mylan MG, 10 mg x 20 comp rev;0;43;0;5,9;1439,6;26;23;21;15;24;17;25;12;16;16;20;21;8;244
5475256;Cetix, 10 mg x 7 comp chupar;0;43;0;6,3;94,5;2;3;1;0;2;1;3;1;0;1;0;0;1;15
9702407;Claritine, 10 mg x 20 comp;0;43;0;8,55;230,85;3;0;8;5;4;3;1;0;0;1;1;1;0;27
7048173;Eucalyplus Spray Nasal 20Ml;0;43;0;9,5;9,5;0;1;0;0;0;0;0;0;0;0;0;0;0;1
