cod;nome;pvp;classif;ATC;ATC ativo
6142539;Acquarin Spray Nasal 100 Ml;4,5;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5346218;Actifed Descongestionante , 1 mg/ml Frasco 10 ml Sol pulv nasal;11,5;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
8559013;Actifed, 60/2,5 mg x 20 comp;7,65;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R01BA52 / R06AX07;Pseudoefedrina + Triprolidina
5071634;Allergodil OD MG, 120 mg Blister 20 Unidade(s) Comp revest pelic;9,45;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
2159184;Allergodil, 1 mg/mL-10 mL x 1 sol pulv nasal;10,95;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX07;Azelastina
6214742;Aqua Maris Ag Mar Isot Spray 30ml;4,69;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6214759;Aqua Maris Forte Ag Mar Hipert Spray 30ml;5,1;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
9901116;Benylin (200mL), 2,8/0,4 mg/mL x 1 xar mL;10,48;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AA02;Difenidramina + Levomentol
3574589;Bisolspray Nebulicina Adulto, 0,5 mg/mL-10 mL x 1 sol pulv nasal;9,55;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
6304063;Bloxinus Spray Nasal Edema 20ml;10,01;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6774232;Breathe Right Bal Penso Nasal Gde X8;8,9;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6774190;Breathe Right Penso Nasal Gde X10;12,25;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6729327;Breathe Right Penso Nasal Gde X30;26,11;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6774208;Breathe Right Penso Nasal Peq/Med X10;10,49;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6729319;Breathe Right Penso Nasal Peq/Med X30;29,5;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5458229;Cetirizina Alter Genéricos MG, 10 mg x 20 comp rev;4,7;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
4431284;Cetirizina Alter MG, 10 mg x 20 comp rev;4,71;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
5589312;Cetirizina Aurobindo MG, 10 mg x 20 comp rev;5,9;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
4256798;Cetirizina Bluepharma MG, 10 mg x 20 comp rev;4,9;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
4214599;Cetirizina Farmoz MG, 10 mg x 20 comp rev;4,95;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
5122098;Cetirizina Jaba MG, 10 mg x 20 comp rev;1,96;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
3725488;Cetirizina Mylan MG, 10 mg x 20 comp rev;5,9;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
4212296;Cetirizina Nargoran MG, 10 mg Blister 20 Unidade(s) Comp revest pelic;4,7;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
5475256;Cetix, 10 mg x 7 comp chupar;6,3;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
5816400;Claritine , 10 mg Blister 10 Unidade(s) Comp;5,45;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AX13;Loratadina
9702407;Claritine, 10 mg x 20 comp;8,55;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AX13;Loratadina
9448712;Dinaxil ,60 mg + 2,5 mg Frasco 20 Unidade(s) Comp;2,68;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R01BA52;Pseudoefedrina + Triprolidina
7048173;Eucalyplus Spray Nasal 20Ml;9,5;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
7350140;Eucalysept Aroma Emulsao 50Ml;9,8;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
8070409;Fenistil, 1 mg/mL-20 mL x 1 sol oral gta;6,35;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AB03;Dimetindeno
8707505;Fenolip , 20 mg/ml Frasco nebulizador 15 ml Sol inal neb;6,63;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX01;Ácido cromoglícico
6506279;Fitonasal Spray Nasal Concent 30Ml;16,95;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6985655;Frimar Forte  Spray Nasal Hipert 100ml;8,5;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
7776153;Frimar Forte Sp Nasal Hipert 100Ml Duo;9,95;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6326181;Frimar Fresh Spray Nasal Hipert 30 6A+;5,95;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6985663;Frimar Spray Nasal Isot 100ml;8,5;14.1.1 - Descongestionantes;R01AA09;Xilometazolina
7775445;Frimar Spray Nasal Isot 100Ml Duo;9,95;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6842070;Grindpectoral Unguent Bals 30 G;5,55;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AX13;Loratadina
5568621;Heperpoll Maçã MG, 10 mg x 14 comp chupar;6,9;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
6243006;Ilvico Mer Spray Nasal 20ml;5,4;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6412965;Lauroderme Ag Do Mar 20 Ml;4,5;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
2396984;Livostin, 0,5 mg/mL x 15 sol pulv nasal;5,97;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX02;Levocabastina
6317552;Lyomer C Spray Nasal Ag Mar Isot 50ml;10,54;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6210948;Mucoclear 3% Sol Inal Salina Hipert 20x4ML;23,61;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6426239;Nasalkid Spray Nasal 20ml;11,87;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5406376;Nasarox, 0,5 mg/mL-15 mL x 1 sol pulv nasal;5,9;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
5738406;Nasex Duo , 1 mg/ml + 50 mg/ml Frasco 10 ml Sol pulv nasal;7,95;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
9188219;Nasex, 0,5 mg/mL-15 mL x 1 sol nasal conta-gotas;6,3;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
9167205;Nasex, 0,5 mg/mL-15 mL x 1 sol pulv nasal;6,98;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5757372;Nasex, 1 mg/mL-10 mL x 1 sol nasal conta-gotas;6,95;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5772504;Nasitrim Duoeffect (10 mL), 0,5/0,6 mg/mL x 1 sol pulv nasal;7,45;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6205773;Nasivin  Spray Nasal Mentol 20ml;7,8;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6116863;Nasivin Mer++ Spray Nasal 20 Ml;7,89;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
6114991;Naso Drill Spray Nasal 100ml;10,6;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
