cod;nome;pvp;classif;ATC;ATC ativo
2487593;Antigrippine x 20 comp;6.9;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
6293159;Bisolviral Spray Nasal 20ml;10.95;5 - Sistema Respiratório;R05;Cough and cold preparations
9869800;Cebiolon, 100 mg/mL-20 mL x 1 sol oral gta;5.55;11.3.1.2 - Vitaminas hidrossolúveis;A11GA01 ;Ascorbic acid (vit C)
5054168;Cêgripe, 1/500 mg x 20 comp;9.6;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
5472949;Griponal, 4/500 mg x 20 comp eferv;9.9;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
8665604;Ilvico, 250/3/10/36 mg x 20 comp rev;8.6;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
5189857;Panadol Extra, 500/65 mg x 20 comp rev;4.98;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
2493591;Paramolan C, 500/250 mg x 20 pó sol oral saq;6.75;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
8870030;Vitamina C Alter Laranja, 1000 mg x 20 comp eferv;6.21;11.3.1.2 - Vitaminas hidrossolúveis;A11GA01 ;Ascorbic acid (vit C)
8870048;Vitamina C Alter Morango, 1000 mg x 20 comp eferv;6.21;11.3.1.2 - Vitaminas hidrossolúveis;A11GA01 ;Ascorbic acid (vit C)
9879213;Vitaminac Retard, 500 mg x 20 cáps lib prol;7.18;11.3.1.2 - Vitaminas hidrossolúveis;A11GA01 ;Ascorbic acid (vit C)
5603741;Antigrippine trieffect, 500/5 mg x 20 comp rev;9.35;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
5662606;Kaloba, 20 mg x 21 comp rev;10.99;5 - Sistema Respiratório;R05;Cough and cold preparations
5662549;Kaloba, 8,0 g/10 g-20mL x 1 sol oral gta;7.74;5 - Sistema Respiratório;R05;Cough and cold preparations
5726369;Cegrinaso MG, 200 mg + 30 mg Blister 24 Unidade(s) Comp revest pelic;7.49;5 - Sistema Respiratório;R05;Cough and cold preparations
5674858;Panadol Gripus, 500/6,1/100 mg x 16 cáps;9.2;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
5425731;Vitaminac Retard, 500 mg x 60 cáps lib prol;16.74;11.3.1.2 - Vitaminas hidrossolúveis;A11GA01 ;Ascorbic acid (vit C)
5678404;Flucavex MG, 500/25/200 mg x 8 gran sol oral saq;7.1;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
5773965;Aspirina Complex , 500 mg + 30 mg Saqueta 10 Unidade(s) Granul susp oral;6.55;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
5666110;Bisolgripal MG, 200 mg + 30 mg Blister 20 Unidade(s) Comp revest pelic;9.83;5 - Sistema Respiratório;R05;Cough and cold preparations
6632679;Viruprotect Stada Spray Bucal 20Ml;22.32;5 - Sistema Respiratório;R05;Cough and cold preparations
5818711;Antigrippine Trieffect Tosse , 500 mg + 6.1 mg + 100 mg Blister 16 Unidade(s) Caps;9.99;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
5440987;Ben-U-Ron, 1000 mg x 18 comp;2.92;2.10 - Analgésicos e antipiréticos;N02BE51;Paracetamol, combinations excl. psycholeptics
4485488;Dafalgan, 1000 mg x 16 comp rev;2.63;2.10 - Analgésicos e antipiréticos;N02BE52;Paracetamol, combinations excl. psycholeptics
5321070;Paracetamol Ciclum MG, 1000 mg x 20 comp;2.41;2.10 - Analgésicos e antipiréticos;N02BE53;Paracetamol, combinations excl. psycholeptics
5321054;Paracetamol Ciclum MG, 650 mg x 20 comp;1.73;2.10 - Analgésicos e antipiréticos;N02BE54;Paracetamol, combinations excl. psycholeptics
5320775;Paracetamol Generis MG, 1000 mg x 18 comp;2.34;2.10 - Analgésicos e antipiréticos;N02BE55;Paracetamol, combinations excl. psycholeptics
5118534;Paracetamol Pharmakern MG, 1000 mg x 18 comp;2.53;2.10 - Analgésicos e antipiréticos;N02BE56;Paracetamol, combinations excl. psycholeptics
5413745;Paracetamol Ratiopharm MG, 1000 mg x 20 comp;2.13;2.10 - Analgésicos e antipiréticos;N02BE57;Paracetamol, combinations excl. psycholeptics
5366547;Paracetamol Sandoz MG, 1000 mg x 20 comp;2.45;2.10 - Analgésicos e antipiréticos;N02BE58;Paracetamol, combinations excl. psycholeptics
5473020;Paracetamol Alter MG, 1000 mg x 18 comp;1.84;2.10 - Analgésicos e antipiréticos;N02BE61;Paracetamol, combinations excl. psycholeptics
5592019;Paracetamol Farmoz MG, 1000 mg x 20 comp;1.87;2.10 - Analgésicos e antipiréticos;N02BE80;Paracetamol, combinations excl. psycholeptics
5271036;Paracetamol Azevedos MG, 1000 mg x 18 comp;2.48;2.10 - Analgésicos e antipiréticos;N02BE95;Paracetamol, combinations excl. psycholeptics
5775739;Paracetamol Mylan MG, 1000 mg Blister 20 Unidade(s) Comp;1.52;2.10 - Analgésicos e antipiréticos;N02BE119;Paracetamol, combinations excl. psycholeptics
5478300;Supofen MG, 1000 mg x 18 comp;1.89;2.10 - Analgésicos e antipiréticos;N02BE122;Paracetamol, combinations excl. psycholeptics
