index,5.2.1 - Antitússicos,5.2.2 - Expetorantes
2013-01-01,66.33,1282.6799999999998
2013-02-01,172.54,1394.96
2013-03-01,115.52,1358.92
2013-04-01,95.56,598.05
2013-05-01,52.949999999999996,703.08
2013-06-01,84.8,452.54999999999995
2013-07-01,20.35,439.02
2013-08-01,36.84,384.27
2013-09-01,64.91,373.74
2013-10-01,67.61999999999999,703.74
2013-11-01,48.81999999999999,932.33
2013-12-01,106.99,1510.26
2014-01-01,168.62,1312.1
2014-02-01,136.39,1525.56
2014-03-01,113.44999999999999,1156.93
2014-04-01,94.1,808.78
2014-05-01,19.3,492.88
2014-06-01,49.04,405.64
2014-07-01,9.65,337.12
2014-08-01,61.05,465.93
2014-09-01,37.89,500.27
2014-10-01,96.07,898.84
2014-11-01,173.22,873.77
2014-12-01,219.39999999999998,1355.26
2015-01-01,576.52,3147.0099999999998
2015-02-01,343.01,1726.5500000000002
2015-03-01,176.87,1118.1200000000001
2015-04-01,128.05,622.96
2015-05-01,51.3,547.35
2015-06-01,28.950000000000003,358.34000000000003
2015-07-01,50.85,333.88
2015-08-01,49.3,317.27
2015-09-01,76.66,451.21000000000004
2015-10-01,76.99,885.96
2015-11-01,94.74000000000001,712.32
2015-12-01,80.85,1242.3899999999999
2016-01-01,129.8,992.34
2016-02-01,179.55,1301.8500000000001
2016-03-01,158.97,952.05
2016-04-01,97.92999999999999,723.73
2016-05-01,152.15,781.61
2016-06-01,82.14999999999999,499.44
2016-07-01,50.2,455.73
2016-08-01,50.7,249.42
2016-09-01,88.7,525.4
2016-10-01,182.92000000000002,768.09
2016-11-01,155.95,1081.04
2016-12-01,383.9,1756.06
2017-01-01,214.05,1298.3700000000001
2017-02-01,126.0,693.54
2017-03-01,155.35,573.21
2017-04-01,165.9,666.25
2017-05-01,165.3,518.99
2017-06-01,106.1,412.41
2017-07-01,47.65,300.04
2017-08-01,98.2,320.13
2017-09-01,114.15,418.56
2017-10-01,254.45,813.26
2017-11-01,218.0,715.4499999999999
2017-12-01,297.9,1392.32
2018-01-01,751.5,1353.32
2018-02-01,518.4,1322.8600000000001
2018-03-01,514.55,1273.87
2018-04-01,184.9,545.0799999999999
2018-05-01,216.7,543.81
2018-06-01,145.15,528.6899999999999
2018-07-01,123.8,358.11
2018-08-01,88.7,251.79000000000002
2018-09-01,48.95,344.21
2018-10-01,194.4,555.35
2018-11-01,279.65,663.89
2018-12-01,573.7,1427.1
2019-01-01,608.2,1748.95
2019-02-01,273.85,1384.01
2019-03-01,244.29999999999998,732.62
2019-04-01,251.1,635.9
2019-05-01,195.3,750.85
2019-06-01,110.44999999999999,437.1
2019-07-01,98.2,345.03
2019-08-01,109.2,282.99
2019-09-01,69.55,233.18
2019-10-01,197.14999999999998,604.76
2019-11-01,428.25,747.9100000000001
2019-12-01,485.20000000000005,1099.8
2020-01-01,472.25,1445.9499999999998
2020-02-01,490.10999999999996,1027.09
2020-03-01,418.01000000000005,888.76
2020-04-01,47.8,328.99
2020-05-01,85.94999999999999,129.19
2020-06-01,9.65,164.86
2020-07-01,8.7,148.14
2020-08-01,78.3,237.07
2020-09-01,126.32,275.46
2020-10-01,219.6,369.12
2020-11-01,91.69,291.15
2020-12-01,98.28999999999999,326.1
2021-01-01,183.62,430.08
2021-02-01,182.89999999999998,381.66999999999996
2021-03-01,88.5,241.92
2021-04-01,103.15,197.84
2021-05-01,104.22,270.76
2021-06-01,165.17000000000002,429.51
2021-07-01,240.21,404.15999999999997
2021-08-01,111.8,240.78999999999996
2021-09-01,93.8,301.65
2021-10-01,238.0,665.81
2021-11-01,670.47,976.54
2021-12-01,518.73,626.75
2022-01-01,236.45,553.92
2022-02-01,203.05,612.49
2022-03-01,431.71999999999997,662.24
2022-04-01,249.45,620.99
2022-05-01,237.48999999999998,642.79
2022-06-01,240.75,542.41
2022-07-01,79.05,324.32
2022-08-01,79.1,340.14
2022-09-01,123.95,364.45
2022-10-01,302.25,603.9399999999999
2022-11-01,303.79999999999995,869.85
2022-12-01,709.74,1391.99
2023-01-01,429.3,1179.48
2023-02-01,193.3,662.75
2023-03-01,323.95,707.95
