CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
9313106;Anginova, 0,25/1,5mg+400U x 20 comp chupar;0;43;0;8,27;82,7;0;1;0;0;1;1;1;0;0;2;0;1;2;1;0;10
4320396;Collu-Hextril, 2 mg/mL-40 mL x 1 sol pulv bucal;0;43;0;7,05;190,35;3;5;1;0;3;2;4;0;2;3;1;0;0;0;3;27
8834101;Euphon, 10 mg x 70 pst;2;43;2;9,75;351;1;2;2;1;1;4;4;6;1;4;4;4;1;1;0;36
9969600;Hydrotricine, 1 mg x 24 pst;0;43;0;9,22;147,6;0;0;1;2;3;1;0;0;0;2;2;3;0;1;0;15
4895983;Locabiosol 125 microgramas, 125 mcg/dose x 10 sol pulv bucal/nasal;0;43;0;8,75;647,5;5;4;9;4;3;4;5;0;4;3;2;11;7;6;7;74
5407382;Mebocaína Anti-Inflam, 1,2/3 mg x 20 comp chupar;0;43;0;9,9;346,5;0;0;0;0;0;0;0;0;0;0;7;13;5;5;5;35
5407481;Mebocaína Anti-Inflam, 6/1,5mg/mL-10mL x 1 sol pulv bucal;0;43;0;7,45;37,25;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;5
5470851;Mebocaína Forte, 4/1/0,2 mg x 16 pst;0;43;0;8,45;185,9;0;0;0;0;0;0;0;0;0;0;8;4;0;4;6;22
9703017;Mebocaína Forte, 4/1/0,2 mg x 20 pst;0;43;0;6,2;409,2;25;26;15;0;0;0;0;0;0;0;0;0;0;0;0;66
5211636;Mebocaína Forte, 4/1/0,2 mg x 24 pst;38;43;38;9,25;1036;0;0;1;5;10;10;7;6;10;16;7;12;15;7;6;112
9908608;Neobradoral, 0,5 mg x 24 comp rev;0;43;0;6,63;26,52;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;4
3700481;Strepfen Mel e limão, 8,75 mg x 16 pst;22;43;22;8,9;5233,2;50;45;46;28;37;23;21;17;29;55;59;69;41;33;35;588
5154828;Strepfen Mel e limão, 8,75 mg x 24 pst;27;43;27;10,25;225,5;0;0;0;0;0;0;0;0;0;0;0;0;5;6;11;22
5336508;Strepsils Gengibre , 1.2 mg + 0.6 mg Blister 16 Unidade(s) Past;0;43;0;7,9;118,5;2;3;0;0;0;1;0;1;0;2;1;2;1;2;0;15
5164231;Strepsils Laranja com Vitamina C, 1,2/0,6 mg x 24 pst;14;43;14;8,9;785,4;5;6;12;5;5;1;5;1;4;3;11;5;0;14;7;84
5182654;Strepsils Limão sem açúcar, 1,2/0,6 mg x 16 pst;6;43;6;7,9;497,7;2;1;7;8;4;0;2;4;2;3;5;4;8;10;3;63
5154737;Strepsils Mel e limão, 1,2/0,6 mg x 24 pst;34;43;34;8,9;1972,85;18;9;19;8;10;5;5;8;10;13;14;34;22;19;17;211
5301619;Strepsils Menta Fresca, 1,2/0,6 mg x 16 pst;0;43;0;7,9;31,6;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;4
5182647;Strepsils Morango sem açúcar, 1,2/0,6 mg x 16 pst;4;43;4;7,9;711;5;5;7;4;3;2;5;1;3;10;10;9;9;8;9;90
2889384;Tantum Verde , 1.5 mg/ml Frasco nebulizador 30 ml Sol pulv bucal;0;43;0;8,3;16,6;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2
8232827;Tantum Verde , 1.5 mg/ml Frasco 240 ml Sol lavag boca;2;43;2;10,95;1270,2;6;6;10;10;9;9;8;10;12;4;6;8;3;8;7;116
9527101;Tantum Verde , 3 mg + 2.5 mg Blister 20 Unidade(s) Past;0;43;0;8,95;17,9;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
5242086;Tantum Verde , 3 mg/ml Frasco nebulizador 15 ml Sol pulv bucal;1;43;1;12,2;146,4;0;1;0;0;1;1;1;0;0;0;2;1;5;0;0;12
3576287;Tantum Verde Menta Sem Açucar, 3 mg x 20 pst;1;43;1;9,95;59,7;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;6
