CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
4320396;Collu-Hextril, 2 mg/mL-40 mL x 1 sol pulv bucal;0;0043;0;7,05;162,15;1;1;2;0;3;2;2;4;3;0;3;0;2;23
8834101;Euphon, 10 mg x 70 pst;0;0043;0;9,75;156,00;0;1;1;0;1;1;2;2;4;1;0;1;2;16
9969600;Hydrotricine, 1 mg x 24 pst;1;0043;1;9,22;64,54;4;0;0;0;0;1;0;1;0;1;0;0;0;7
5745369;Macifen , 8.75 mg Blister 16 Unidade(s) Past;0;0043;0;6,9;41,40;0;0;0;0;0;0;0;0;0;0;2;4;0;6
5745377;Macifen , 8.75 mg Blister 24 Unidade(s) Past;0;0043;0;9,95;39,80;0;0;0;0;0;0;0;0;0;0;1;2;1;4
5407382;Mebocaína Anti-Inflam, 1,2/3 mg x 20 comp chupar;0;0043;0;9,9;247,50;12;0;1;1;0;5;2;1;0;0;0;3;0;25
5470851;Mebocaína Forte, 4/1/0,2 mg x 16 pst;1;0043;1;8,45;143,65;4;0;1;0;1;1;0;1;2;4;2;1;0;17
5211636;Mebocaína Forte, 4/1/0,2 mg x 24 pst;26;0043;26;9,25;268,25;5;3;2;0;1;6;0;2;1;2;1;4;2;29
5714647;Mentocaína Anti-Inflam, 8,75 mg x 24 pst;0;0043;0;8,9;8,90;0;0;0;0;0;0;0;0;0;0;1;0;0;1
5478045;Strepfen Laranja sem açúcar, 8,75 mg x 16 pst;12;0043;12;8,9;587,40;18;1;0;2;2;3;3;4;4;5;13;7;4;66
5478052;Strepfen Laranja sem açúcar, 8,75 mg x 24 pst;28;0043;28;9,9;396,00;9;3;2;1;3;1;2;9;5;0;1;3;1;40
3700481;Strepfen Mel e limão, 8,75 mg x 16 pst;0;0043;0;8,9;667,50;17;1;2;6;4;2;4;7;8;6;11;6;1;75
5154828;Strepfen Mel e limão, 8,75 mg x 24 pst;0;0043;0;10,25;953,25;16;9;2;2;1;2;11;17;9;3;14;3;4;93
5631031;Strepfen Spray, 16,2 mg/mL-15mL x 1 sol pulv bucal;4;0043;4;11,7;222,30;5;0;0;0;3;3;1;2;0;0;2;0;3;19
5164231;Strepsils Laranja com Vitamina C, 1,2/0,6 mg x 24 pst;11;0043;11;8,9;275,90;6;0;2;0;2;3;1;4;3;2;5;2;1;31
5182654;Strepsils Limão sem açúcar, 1,2/0,6 mg x 16 pst;0;0043;0;7,9;158,00;7;0;0;0;2;1;2;3;4;0;1;0;0;20
5154778;Strepsils Limão sem açúcar, 1,2/0,6 mg x 24 pst;11;0043;11;8,9;17,80;0;0;0;0;1;0;0;0;1;0;0;0;0;2
5154737;Strepsils Mel e limão, 1,2/0,6 mg x 24 pst;0;0043;0;8,9;534,00;8;4;3;0;3;7;6;7;2;8;6;5;1;60
5154745;Strepsils Mel e limão, 1,2/0,6 mg x 36 pst;15;0043;15;9,99;339,66;0;0;2;1;3;6;0;4;5;7;0;2;4;34
5182647;Strepsils Morango sem açúcar, 1,2/0,6 mg x 16 pst;10;0043;10;7,9;252,80;5;1;1;0;1;1;1;7;2;2;3;0;8;32
5154679;Strepsils Morango sem açúcar, 1,2/0,6 mg x 24 pst;4;0043;4;8,9;17,80;0;0;0;0;0;1;1;0;0;0;0;0;0;2
5680038;Strepsils Tosse, 1,2/0,6 mg x 24 pst;5;0043;5;8,9;97,90;6;0;0;0;0;2;2;0;0;1;0;0;0;11
5680046;Strepsils Tosse, 1,2/0,6 mg x 36 pst;0;0043;0;9,7;97,00;1;2;1;0;0;0;0;2;0;2;0;1;1;10
8232827;Tantum Verde , 1.5 mg/ml Frasco 240 ml Sol lavag boca;30;0043;30;10,95;547,50;3;2;0;2;5;9;6;3;2;4;5;4;5;50
5481361;Tantum Verde , 1.5 mg/ml Frasco 500 ml Sol lavag boca;11;0043;11;16,95;288,15;0;2;1;1;2;1;2;0;0;1;3;1;3;17
9527101;Tantum Verde , 3 mg + 2.5 mg Blister 20 Unidade(s) Past;0;0043;0;8,95;8,95;0;0;0;0;0;0;0;0;1;0;0;0;0;1
5242086;Tantum Verde , 3 mg/ml Frasco nebulizador 15 ml Sol pulv bucal;1;0043;1;12,2;61,00;1;2;1;1;0;0;0;0;0;0;0;0;0;5
5328950;Tantum Verde Laranja-Mel Sem Açucar, 3 mg x 20 pst;0;0043;0;8,3;16,60;1;0;0;0;0;0;0;0;1;0;0;0;0;2
3576287;Tantum Verde Menta Sem Açucar, 3 mg x 20 pst;1;0043;1;9,95;89,55;0;1;1;1;0;0;0;1;1;3;0;0;1;9
