CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
2487593;Antigrippine x 20 comp;0;0043;0;6,9;1021,20;13;7;16;2;12;5;4;3;6;16;9;19;16;11;9;148
6293159;Bisolviral Spray Nasal 20ml;0;0043;0;10,95;372,30;0;0;0;0;0;0;0;0;0;5;4;7;7;8;3;34
9869800;Cebiolon, 100 mg/mL-20 mL x 1 sol oral gta;0;0043;0;5,55;55,50;1;0;0;0;1;0;2;2;0;0;0;1;2;1;0;10
5054168;Cêgripe, 1/500 mg x 20 comp;106;0043;106;9,6;9571,20;110;118;86;41;42;22;9;12;32;80;75;127;97;80;66;997
5472949;Griponal, 4/500 mg x 20 comp eferv;67;0043;67;9,9;227,70;0;0;0;0;0;0;0;0;0;4;5;6;3;1;4;23
8665604;Ilvico, 250/3/10/36 mg x 20 comp rev;85;0043;85;8,6;3723,80;34;40;41;14;16;16;5;12;14;38;27;66;42;41;27;433
5189857;Panadol Extra, 500/65 mg x 20 comp rev;0;0043;0;4,98;149,40;4;3;3;1;2;1;2;3;0;3;2;1;1;2;2;30
2493591;Paramolan C, 500/250 mg x 20 pó sol oral saq;0;0043;0;6,75;297,00;4;2;4;1;3;0;3;1;1;2;7;4;7;2;3;44
8870030;Vitamina C Alter Laranja, 1000 mg x 20 comp eferv;0;0043;0;6,21;434,70;15;8;3;2;5;1;3;1;1;5;8;6;7;4;1;70
8870048;Vitamina C Alter Morango, 1000 mg x 20 comp eferv;0;0043;0;6,21;136,62;1;3;1;0;2;1;0;0;2;2;1;2;2;3;2;22
9879213;Vitaminac Retard, 500 mg x 20 cáps lib prol;0;0043;0;7,18;50,26;2;2;0;0;0;0;0;0;0;0;1;0;1;1;0;7
