CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5603741;Antigrippine trieffect, 500/5 mg x 20 comp rev;0;0043;0;9,35;757,35;8;5;2;0;0;1;6;7;10;9;12;11;10;81
5773965;Aspirina Complex , 500 mg + 30 mg Saqueta 10 Unidade(s) Granul susp oral;0;0043;0;6,55;39,30;0;0;0;0;0;0;0;0;0;0;4;0;2;6
6293159;Bisolviral Spray Nasal 20ml;0;0043;0;10,95;54,75;0;0;0;0;0;0;0;1;1;1;0;0;2;5
9869800;Cebiolon, 100 mg/mL-20 mL x 1 sol oral gta;0;0043;0;5,55;11,10;0;0;0;0;0;0;0;1;0;0;0;1;0;2
5726369;Cegrinaso MG, 200 mg + 30 mg Blister 24 Unidade(s) Comp revest pelic;0;0043;0;7,49;292,11;3;1;1;4;1;0;3;4;5;6;8;3;0;39
5054168;Cêgripe, 1/500 mg x 20 comp;106;0043;106;9,6;5520,00;35;36;28;28;7;6;26;50;55;92;93;50;69;575
5472949;Griponal, 4/500 mg x 20 comp eferv;67;0043;67;9,9;1376,10;7;15;6;5;1;1;4;17;7;16;30;15;15;139
8665604;Ilvico, 250/3/10/36 mg x 20 comp rev;85;0043;85;8,6;2330,60;22;11;17;6;4;6;13;17;29;47;41;25;33;271
5662606;Kaloba, 20 mg x 21 comp rev;0;0043;0;10,99;21,98;2;0;0;0;0;0;0;0;0;0;0;0;0;2
5674858;Panadol Gripus, 500/6,1/100 mg x 16 cáps;10;0043;10;9,2;791,20;6;4;3;3;0;0;2;0;17;17;12;17;5;86
2493591;Paramolan C, 500/250 mg x 20 pó sol oral saq;0;0043;0;6,75;162,00;1;1;1;0;0;2;1;6;2;3;3;0;4;24
8870030;Vitamina C Alter Laranja, 1000 mg x 20 comp eferv;0;0043;0;6,21;117,99;1;1;0;0;3;0;2;2;2;5;0;1;2;19
8870048;Vitamina C Alter Morango, 1000 mg x 20 comp eferv;0;0043;0;6,21;18,63;3;0;0;0;0;0;0;0;0;0;0;0;0;3
