CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5440987;Ben-U-Ron, 1000 mg x 18 comp;231;0043;231;2,92;10529,52;229;219;278;269;322;247;254;260;335;317;287;282;307;3606
4485488;Dafalgan, 1000 mg x 16 comp rev;2;0043;2;2,63;18,41;1;1;0;0;2;2;0;0;0;1;0;0;0;7
5473020;Paracetamol Alter MG, 1000 mg x 18 comp;0;0043;0;1,84;7,36;0;0;0;0;0;0;0;0;0;0;0;1;3;4
5271036;Paracetamol Azevedos MG, 1000 mg x 18 comp;0;0043;0;2,48;736,56;66;50;66;67;21;4;6;3;0;4;5;3;2;297
5321070;Paracetamol Ciclum MG, 1000 mg x 20 comp;1;0043;1;2,41;26,51;2;3;1;2;0;0;0;1;2;0;0;0;0;11
5321054;Paracetamol Ciclum MG, 650 mg x 20 comp;2;0043;2;1,73;17,30;2;1;0;3;0;0;0;0;0;0;1;0;3;10
5592019;Paracetamol Farmoz MG, 1000 mg x 20 comp;5;0043;5;1,87;187,00;10;11;7;12;6;12;4;2;5;4;5;11;11;100
5320775;Paracetamol Generis MG, 1000 mg x 18 comp;0;0043;0;2,34;4,68;0;0;0;0;0;1;0;0;1;0;0;0;0;2
5775739;Paracetamol Mylan MG, 1000 mg Blister 20 Unidade(s) Comp;0;0043;0;1,52;117,04;1;0;7;13;0;0;3;15;8;14;7;7;2;77
5118534;Paracetamol Pharmakern MG, 1000 mg x 18 comp;169;0043;169;2,53;3213,10;4;13;8;35;124;121;76;139;144;158;143;156;149;1270
