CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5245972;Acetilcisteína Pharmakern MG, 600 mg x 20 comp eferv;0;0043;0;6,5;2314,00;43;29;24;24;18;17;19;26;22;32;43;31;28;356
5519186;Acetilcisteína Tussilene MG, 600 mg x 20 comp eferv;0;0043;0;5,5;5,50;0;0;0;0;0;0;0;0;0;1;0;0;0;1
5404082;Ambroxol Generis MG, 3 mg/ml Frasco 200 ml Xar;0;0043;0;7,13;35,65;1;0;0;0;0;0;1;2;0;0;0;0;1;5
5200266;Benflux Forte, 6 mg/mL-200 mL x 1 xar medida;0;0043;0;10,84;21,68;1;0;0;0;0;0;0;0;0;0;0;1;0;2
3605995;Bisoltussin Tosse Seca, 2 mg/mL-200 mL x 1 sol oral mL;0;0043;0;9,65;800,95;7;11;2;3;3;4;5;3;9;5;9;12;10;83
5421375;Bisoltussin, 10,5 mg x 20 pst;14;0043;14;10,95;295,65;5;2;2;0;2;0;1;2;0;2;3;3;5;27
5790183;Bisolvon Linctus Adulto, 1,6 mg/mL-200mL x 1 xar mL;0;0043;0;10,5;2110,50;31;12;14;5;7;2;4;23;9;22;22;25;25;201
8283309;Bisolvon Linctus Criança, 0,8 mg/mL-200mL x 1 xar mL;0;0043;0;9,35;430,10;5;0;2;0;0;0;2;5;4;12;4;8;4;46
8254920;Bisolvon, 2 mg/mL-40 mL x 1 sol oral gta;0;0043;0;6,5;13,00;0;0;0;0;1;0;0;0;1;0;0;0;0;2
9254813;Bisolvon, 8 mg x 20 comp;0;0043;0;8,55;324,90;4;1;0;2;0;0;1;4;3;8;6;6;3;38
5490677;Bisolvon, 8 mg/5 ml x 20 xar saq;0;0043;0;8,04;40,20;0;0;0;0;0;0;0;0;0;1;0;3;1;5
5618152;Bronchodual (200mL), 0,12/0,83g/15mL x 1 sol oral frasco;0;0043;0;14,98;29,96;0;0;0;0;0;0;0;0;0;2;0;0;0;2
9745828;Broncoliber, 120 mg x 20 cáps lib prol;0;0043;0;10,6;127,20;0;0;2;2;0;1;1;3;1;1;0;0;1;12
9545509;Broncoliber, 3 mg/mL-200 mL x 1 xar mL;0;0043;0;6,2;68,20;1;2;1;0;1;1;0;0;1;1;0;2;1;11
5349352;Broncoliber, 50 mg/mL-13 mL x 1 sol pulv oral;0;0043;0;9,9;9,90;0;0;0;0;0;0;0;0;0;1;0;0;0;1
9545517;Broncoliber, 6 mg/mL-200 mL x 1 xar medida;0;0043;0;9,8;88,20;0;1;1;1;1;0;1;1;0;0;2;1;0;9
9744706;Bronquial-Om, 375/60 mg x 20 cáps;0;0043;0;5,39;5,39;0;0;0;0;0;0;0;0;0;1;0;0;0;1
3482080;Drill Tosse Seca, 1 mg/mL-200 mL x 1 xar colher medida;0;0043;0;7,72;23,16;0;0;0;0;0;0;0;2;0;0;0;0;1;3
3311180;Fluimucil 2%, 20 mg/mL-200 mL x 1 sol oral mL;0;0043;0;8,65;51,90;1;1;0;0;0;0;0;0;2;2;0;0;0;6
2195980;Fluimucil, 200 mg x 20 gran sol oral saq;0;0043;0;6,9;69,00;3;0;1;0;0;0;0;1;2;0;1;0;2;10
5269287;Fluimucil 4%, 40 mg/mL-200 mL x 1 sol oral mL;0;0043;0;10,5;304,50;4;3;1;2;2;3;4;0;0;6;1;3;0;29
2195782;Fluimucil, 600 mg x 20 comp eferv;5;0043;5;7,87;1274,94;18;19;12;4;4;5;7;9;12;18;16;24;14;162
2177681;Levotuss, 6 mg/mL-200 mL x 1 xar mL;0;0043;0;10,7;53,50;1;0;0;0;0;1;0;1;0;1;0;1;0;5
5582333;Levotuss, 60 mg x 20 comp;0;0043;0;10,1;60,60;2;0;1;0;0;0;0;0;0;0;1;2;0;6
9278200;Lisomucin, 1,6 mg/mL-200mL x 1 xar mL;0;0043;0;8,45;8,45;0;0;0;0;0;0;0;0;0;1;0;0;0;1
5588025;Milid, 300 mg x 20 cáps;2;0043;2;9,13;173,47;2;2;0;2;0;0;0;1;7;1;3;0;1;19
5588009;Milid, 300 mg x 20 comp disp;2;0043;2;8,95;170,05;3;1;0;0;0;0;0;1;2;0;3;6;3;19
9329714;Mucoral, 400 mg x 20 cáps;0;0043;0;7,92;31,68;0;1;0;0;0;1;1;1;0;0;0;0;0;4
8631119;Mucosolvan Perlonguets, 75 mg x 20 cáps lib prol;0;0043;0;11,1;33,30;0;0;0;0;0;0;0;0;0;0;1;2;0;3
9574715;Mucosolvan, 30 mg x 20 comp;1;0043;1;9,25;9,25;0;0;0;0;0;1;0;0;0;0;0;0;0;1
3245586;Mucosolvan, 6 mg/mL-125 mL x 1 xar mL;0;0043;0;8,46;84,60;3;0;1;0;0;0;2;2;1;1;0;0;0;10
